OBJECTID,pointid,percentage,Lon,Lat,RastX,RastY
19113,92867,10.56000042,-83.90321336,47.08302837,-1158303.794,468166.5936
19114,92868,7.226666451,-83.77458499,47.06744861,-1149145.231,464403.8256
19115,92869,13.80000019,-83.64604933,47.05169225,-1139987.881,460639.1506
19116,92870,12.21000004,-83.51760734,47.03575953,-1130831.748,456872.5722
19117,92871,13.08333302,-83.38925994,47.01965068,-1121676.834,453104.0939
19118,92872,8.416666985,-83.26100809,47.00336594,-1112523.145,449333.7192
19119,92873,5.816666603,-83.13285272,46.98690553,-1103370.683,445561.4516
19120,92874,13.9333334,-83.00479476,46.9702697,-1094219.453,441787.2948
19121,92875,24.41333389,-82.87683514,46.95345868,-1085069.458,438011.2521
19122,92876,16.64333344,-82.74897477,46.93647272,-1075920.702,434233.3273
19123,92877,1.666666627,-82.62121457,46.91931206,-1066773.188,430453.5239
19124,92878,18.07666779,-82.49355546,46.90197695,-1057626.92,426671.8455
19125,92879,13.69333363,-82.36599835,46.88446764,-1048481.903,422888.2958
19126,92880,0.579999983,-82.23854413,46.86678437,-1039338.138,419102.8782
19127,92881,3.779999971,-82.1111937,46.8489274,-1030195.63,415315.5965
19128,92882,9.753333092,-81.98394796,46.83089699,-1021054.383,411526.4544
19129,92883,1.333333373,-81.85680779,46.81269339,-1011914.4,407735.4554
19130,92885,8.140000343,-81.60284771,46.77576766,-993638.24,400147.9017
19131,92886,6.289999962,-81.47602954,46.75704606,-984502.0702,396351.3544
19132,92887,19.17666626,-81.34932046,46.73815231,-975367.1784,392552.9649
19133,92888,11.3166666,-81.22272132,46.7190867,-966233.5682,388752.7372
19134,92889,12,-81.09623297,46.69984948,-957101.243,384950.6748
19135,92890,7.026666641,-80.96985629,46.68044094,-947970.2062,381146.7815
19136,92891,15.54333305,-80.8435921,46.66086134,-938840.4611,377341.0611
19137,92892,3.193333387,-80.71744127,46.64111095,-929712.0113,373533.5173
19138,92893,1.51000011,-80.59140461,46.62119007,-920584.86,369724.1539
19139,92894,8.78666687,-80.46548298,46.60109896,-911459.0105,365912.9746
19140,92895,11.9333334,-80.3396772,46.5808379,-902334.4663,362099.9834
19141,92896,7.370000362,-80.21398808,46.56040719,-893211.2307,358285.1839
19142,92897,1.50666666,-80.08841645,46.53980711,-884089.3068,354468.58
19143,92898,5.989999771,-79.96296313,46.51903794,-874968.698,350650.1755
19144,92900,15.34333324,-79.7124146,46.4769935,-856731.4387,343007.98
19145,92901,4.516666412,-79.58732101,46.45571881,-847614.7946,339184.1967
19146,92902,3.630000114,-79.46234891,46.43427621,-838499.4785,335358.6282
19147,92903,2.349999905,-79.3374991,46.41266598,-829385.4935,331531.2784
19148,92904,4.443333626,-79.21277235,46.39088844,-820272.8428,327702.1511
19149,92905,21.70000076,-79.08816945,46.36894387,-811161.5295,323871.2502
19150,92906,15.29999924,-78.96369117,46.34683259,-802051.5568,320038.5796
19151,92907,9.886666298,-78.83933826,46.32455488,-792942.9277,316204.1432
19152,92908,2.186666727,-78.71511149,46.30211107,-783835.6453,312367.945
19153,92909,7.010000229,-78.59101162,46.27950146,-774729.7127,308529.9888
19154,92910,3.74333334,-78.46703939,46.25672635,-765625.1329,304690.2786
19155,92911,24.37666702,-78.34319554,46.23378607,-756521.9089,300848.8184
19156,92912,4.083333492,-78.21948082,46.21068091,-747420.0437,297005.612
19157,92913,5.676666737,-78.09589596,46.1874112,-738319.5404,293160.6634
19158,92914,20.88999939,-77.97244168,46.16397725,-729220.4017,289313.9766
19159,92915,3.773333311,-77.84911871,46.14037938,-720122.6308,285465.5556
19160,92916,2.569999933,-77.72592776,46.11661791,-711026.2305,281615.4042
19161,92917,1.029999971,-77.60286954,46.09269316,-701931.2038,277763.5266
19162,92918,6.276666641,-77.47994476,46.06860545,-692837.5534,273909.9268
19163,92919,0.819999993,-77.35715413,46.04435512,-683745.2823,270054.6086
19164,92920,2.083333254,-77.23449832,46.01994247,-674654.3933,266197.5761
19165,92921,3.620000124,-77.11197803,45.99536785,-665564.8892,262338.8334
19166,92922,8.999999046,-76.98959395,45.97063157,-656476.7728,258478.3844
19167,92923,8.633333206,-76.86734676,45.94573398,-647390.047,254616.2331
19168,92924,1.093333364,-76.74523711,45.9206754,-638304.7144,250752.3837
19169,92925,5.470000267,-76.62326569,45.89545617,-629220.7778,246886.8401
19170,92926,2.630000114,-76.50143315,45.87007662,-620138.2399,243019.6064
19171,92927,1.196666718,-76.37974015,45.8445371,-611057.1036,239150.6867
19172,92928,8.180000305,-76.25818733,45.81883793,-601977.3713,235280.0849
19173,92929,7.25666666,-76.13677535,45.79297945,-592899.0458,231407.8052
19174,92930,8.220000267,-76.01550484,45.76696202,-583822.1298,227533.8516
19175,92931,3.976666689,-75.89437642,45.74078597,-574746.6258,223658.2282
19176,92932,0.973333299,-75.77339074,45.71445164,-565672.5365,219780.9392
19177,92933,3.349999905,-75.65254841,45.68795938,-556599.8644,215901.9884
19178,92934,4.863333225,-75.53185005,45.66130955,-547528.6121,212021.3802
19179,92935,1.813333273,-75.41129627,45.63450248,-538458.7823,208139.1185
19180,92936,8.643333435,-75.29088767,45.60753852,-529390.3773,204255.2075
19181,92937,2.640000105,-75.17062486,45.58041804,-520323.3997,200369.6512
19182,92939,7.429999828,-74.93053894,45.52570887,-502193.7366,192593.6193
19183,92940,4.036666393,-74.81071702,45.49812091,-493131.0561,188703.152
19184,92941,9.133333206,-74.69104321,45.47037783,-484069.8128,184811.056
19185,92942,2.75999999,-74.57151811,45.44247999,-475010.0092,180917.3352
19186,92944,0.683333337,-74.33291623,45.38622147,-456894.7303,173125.0364
19187,92947,3.299999952,-73.9761426,45.30068203,-429732.6685,161424.5068
19188,92948,3.299999952,-73.85752134,45.27186322,-420681.5523,157521.1251
19189,92953,3.299999952,-73.26671356,45.12549323,-375447.8552,137980.3654
19190,92957,1.643333316,-72.79685618,45.00568833,-339287.2908,122319.386
19191,92958,15.2266674,-72.6797833,44.97536398,-330250.8333,118400.2354
19192,92959,28.58666801,-72.56286798,44.94489113,-321215.8534,114479.5308
19193,92960,11.47333336,-72.44611067,44.91427016,-312182.3532,110557.2766
19194,92961,23.63666534,-72.32951184,44.88350145,-303150.3348,106633.4767
19195,92962,13.97333336,-72.21307197,44.85258537,-294119.8001,102708.1355
19196,92963,19.33333397,-72.09679148,44.82152232,-285090.7512,98781.25707
19197,92964,20.99333382,-71.98067085,44.79031267,-276063.19,94852.84565
19198,92965,15.63000011,-71.8647105,44.7589568,-267037.1186,90922.90542
19199,92966,3.636666775,-71.74891088,44.7274551,-258012.5388,86991.44059
19200,92967,11.17333317,-71.63327243,44.69580796,-248989.4526,83058.45533
19201,92968,2.363333225,-71.51779555,44.66401575,-239967.8619,79123.95385
19202,92969,12.8166666,-71.40248069,44.63207887,-230947.7686,75187.94035
19203,92970,10.36999989,-71.28732824,44.5999977,-221929.1745,71250.41903
19204,92971,4.940000057,-91.62707911,47.59347481,-1704302.722,677455.0049
19205,92972,8.816666603,-91.49507026,47.5886419,-1695082.002,673811.3363
19206,92984,10.1833334,-84.69799015,47.08469211,-1217030.118,481537.576
19207,92985,7.433333397,-84.56908035,47.07021122,-1207866.287,477787.508
19208,92986,12.23999977,-84.44025696,47.05555283,-1198703.642,474035.5163
19209,92987,5.29333353,-84.31152095,47.04071714,-1189542.188,470281.6043
19210,92988,4.230000019,-84.18287327,47.02570438,-1180381.927,466525.7753
19211,92989,26.31666756,-84.0543149,47.01051476,-1171222.865,462768.033
19212,92990,6.510000229,-83.92584679,46.99514851,-1162065.003,459008.3805
19213,92991,10.92666721,-83.79746989,46.97960584,-1152908.347,455246.8215
19214,92992,10,-83.66918515,46.96388698,-1143752.901,451483.3593
19215,92993,18.93333244,-83.5409935,46.94799216,-1134598.667,447717.9975
19216,92994,10.93666649,-83.4128959,46.93192161,-1125445.65,443950.7396
