FID,ANNEE,SUPER_HA,Ia,NIVEAU,Longitude,Latitude,X,Y,RastX,RastY
29798,2012,110.0236131,1,Léger,-71.82310841,49.0731035,1655717.943,313167.5115,-241508.385,569113.4316
29799,2012,0.009231421,1,Léger,-71.86625476,49.09053721,1652083.301,313856.9664,-244551.0761,571187.1749
29800,2012,0.152914816,3,Grave,-72.79203287,49.09054043,1588737.719,290272.046,-311734.8622,574785.9391
29801,2012,0.017149768,2,Modéré,-69.23162946,49.09076264,1830385,386014.0511,-53169.7129,565730.903
29802,2012,2.260774052,3,Grave,-72.75768497,49.08949029,1591134.033,291020.9315,-309250.0049,574520.9072
29803,2012,1.181039849,1,Léger,-68.94588237,49.09021845,1849565.039,394224.5038,-32404.34278,565499.8336
29804,2012,53.00117055,3,Grave,-71.70567377,49.08235669,1663361.426,317192.4768,-232933.6944,569747.1017
29805,2012,166.3061266,2,Modéré,-68.46403369,49.08312892,1882102.314,407637.3909,2614.245472,564615.0053
29806,2012,1.884903028,3,Grave,-71.60869404,49.09046037,1669648.057,320574.3509,-225852.4801,570332.1351
29807,2012,19.41636242,1,Léger,-71.86295315,49.08754752,1652426.851,313632.095,-244326.9378,570845.4271
29808,2012,106.6211823,1,Léger,-68.35662502,49.08537924,1889168.81,411050.2375,10420.87377,564873.8164
29809,2012,21.07607955,1,Léger,-71.86806795,49.08210659,1652293.033,312933.8346,-244726.5705,570261.4292
29810,2012,0.190916593,1,Léger,-72.01934922,49.09122963,1641604.546,309965.1293,-255660.5155,571798.7796
29811,2012,0.49203208,3,Grave,-72.00021705,49.09110053,1642916.25,310445.6811,-254272.4832,571716.3428
29812,2012,0.086092091,2,Modéré,-71.71646332,49.09145375,1662263.619,317854.7708,-233671.9977,570787.9737
29813,2012,0.389039653,1,Léger,-68.94445272,49.09149716,1849604.171,394396.4724,-32299.56563,565640.6816
29814,2012,0.018196374,2,Modéré,-68.37265484,49.09184586,1887807.143,411231.1125,9254.498633,565587.1972
29815,2012,0.019004116,2,Modéré,-71.7180723,49.09198793,1662132.672,317868.1754,-233786.1518,570852.2795
29816,2012,0.657899691,2,Modéré,-68.45845969,49.09145682,1882099.213,408648.7775,3018.866773,565536.789
29817,2012,61.04777998,1,Léger,-72.04850734,49.08670077,1639790.644,308741.9582,-257801.8288,571402.844
29818,2012,188.7323224,1,Léger,-68.44250559,49.08392783,1883503.484,408355.863,4178.985805,564704.4468
29819,2012,58.99968061,1,Léger,-71.86472313,49.08136897,1652550.483,312944.1163,-244487.5491,570168.487
29820,2012,0.250470669,2,Modéré,-68.39057172,49.09203761,1886603.236,410718.9936,7952.402106,565606.2618
29821,2012,0.926062814,3,Grave,-71.71593819,49.09188661,1662282.195,317913.4275,-233631.7216,570834.1089
29822,2012,51.12123564,2,Modéré,-71.61944187,49.08202847,1669252.62,319417.445,-226673.524,569433.9228
